Name,Age,Nationality,Overall,Potential,Club,Value,Wage
A. Vargas,28,Colombia,68,68,Independiente Santa Fe,900000,3000
R. Becerra,29,Argentina,68,68,Deportes Iquique,900000,3000
A. Montalto,29,Italy,68,68,Ternana,900000,3000
G. Cano,29,Argentina,68,68,Independiente Medellin,900000,3000
A. Brighenti,29,Italy,68,68,Cremonese,900000,3000
C. Chiricò,25,Italy,67,68,Cesena,900000,3000
T. Gjertsen,25,Norway,67,68,Kristiansund BK,900000,3000
T. Grøgaard,23,Norway,67,74,Odds BK,900000,3000
N. Peñailillo,25,Chile,67,68,Deportes Iquique,900000,3000
S. Adekugbe,22,Canada,67,74,Vålerenga Fotball,900000,3000
J. Calle,26,Colombia,67,68,Independiente Medellin,900000,3000
K. Tokstad,25,Norway,67,68,Strømsgodset IF,900000,3000
T. Guidara,21,Argentina,66,76,Belgrano de Córdoba,900000,3000
J. Reeves,24,England,66,73,Bradford City,900000,3000
R. Vloet,22,Netherlands,66,73,NAC Breda,900000,3000
I. Moro,23,Ghana,66,73,Silkeborg IF,900000,3000
V. Thill,17,Luxembourg,64,80,FC Metz,900000,3000
D. Szoboszlai,16,Hungary,64,84,FC Red Bull Salzburg,900000,3000
M. Pasqual,35,Italy,73,73,Empoli,875000,3000
D. Croce,34,Italy,70,70,Cremonese,875000,3000
G. Bellusci,27,Italy,69,69,Palermo,875000,3000
N. Brighenti,27,Italy,69,69,Frosinone,875000,3000
Raphael Martinho,29,Brazil,68,68,Ascoli,875000,3000
A. Piccolo,29,Italy,68,68,Cremonese,875000,3000
S. Muniru,24,Ghana,67,72,Tondela,875000,3000
K. Vassell,24,England,66,71,Blackpool,875000,3000
S. Spierings,21,Netherlands,66,72,Sparta Rotterdam,875000,3000
Leandrinho,23,Brazil,66,72,Rio Ave FC,875000,3000
M. Osman,23,Syria,66,72,Heracles Almelo,875000,3000
S. Diarra,22,Mali,66,72,RC Lens,875000,3000
W. Marinus,22,Netherlands,66,72,PEC Zwolle,875000,3000
L. Abram,21,Peru,66,75,Velez Sarsfield,875000,3000
Alain Oyarzun,23,Spain,66,72,Real Zaragoza,875000,3000
L. Rolón,22,Argentina,65,75,Arsenal de Sarandi,875000,3000
T. Nydam,17,England,64,79,Ipswich Town,875000,3000
J. Brunetta,20,Argentina,64,77,Belgrano de Córdoba,875000,3000
F. Dimarco,19,Italy,64,78,FC Sion,875000,3000
F. Poli,28,Italy,69,69,Carpi,850000,3000
T. Hiariej,28,Netherlands,69,69,Central Coast Mariners,850000,3000
D. Tonucci,28,Italy,69,69,Foggia,850000,3000
A. Barrios,26,Chile,68,69,CD Antofagasta,850000,3000
H. Rojas,29,Colombia,68,68,CD Los Millionarios Bogota,850000,3000
L. Balanta,26,Colombia,68,69,Independiente Santa Fe,850000,3000
J. Ojala,28,Finland,68,70,BK Häcken,850000,3000
E. Mosquera,26,Colombia,68,69,Independiente Medellin,850000,3000
D. Konstantinidis,23,Greece,67,72,Brescia,850000,3000
M. Dyrestam,25,Sweden,67,72,Kalmar FF,850000,3000
G. Arokoyo,24,Nigeria,67,71,Kalmar FF,850000,3000
J. Moore-Taylor,23,England,66,75,Exeter City,850000,3000
M. Szwoch,24,Poland,66,71,Arka Gdynia,850000,3000
M. Doughty,24,Wales,66,71,Peterborough United,850000,3000
I. Escobar,21,Argentina,66,75,Talleres de Cordoba,850000,3000
J. Gammelby,22,Denmark,66,75,Silkeborg IF,850000,3000
R. Williams,23,Australia,66,70,Rotherham United,850000,3000
G. Gonzalez,23,Uruguay,66,71,Arsenal de Sarandi,850000,3000
Kim Min Hyeok,24,Korea Republic,66,71,Pohang Steelers,850000,3000
O. Myny,22,Belgium,66,70,Waasland-Beveren,850000,3000
J. Allen,22,England,66,75,Burton Albion,850000,3000
Miguel Diaz,23,Spain,66,71,CA Osasuna,850000,3000
F. Pick,21,Germany,65,74,1. FC Magdeburg,850000,3000
J. Whatmough,21,England,65,77,Portsmouth,850000,3000
N. Seufert,20,Germany,64,77,1. FC Kaiserslautern,850000,3000
A. Kwarasey,29,Ghana,69,70,Vålerenga Fotball,825000,3000
M. Arini,30,Italy,68,68,Cremonese,825000,3000
D. Petković,24,Montenegro,68,72,FC Lorient,825000,3000
A. Seck,25,Senegal,67,71,Sandefjord Fotball,825000,3000
M. Chiosa,23,Italy,67,70,Novara,825000,3000
P. Mortensen,27,Denmark,67,67,Sarpsborg 08 FF,825000,3000
O. Eddahri,26,Sweden,67,67,IK Sirius,825000,3000
B. Avileda,25,Chile,67,67,San Luis de Quillota,825000,3000
D. Babunski,23,FYR Macedonia,66,69,Yokohama F. Marinos,825000,3000
G. Korte,23,Netherlands,66,69,NAC Breda,825000,3000
Cristian Ceballos,24,Spain,66,69,Sint-Truidense VV,825000,3000
J. Croux,23,Belgium,66,69,Willem II,825000,3000
J. Marquis,25,England,66,69,Doncaster Rovers,825000,3000
J. Valencia,25,Colombia,66,69,CD Feirense,825000,3000
H. Vučkić,24,Slovenia,66,70,FC Twente,825000,3000
J. Baldwin,24,England,66,74,Peterborough United,825000,3000
T. Antonis,23,Australia,66,70,Melbourne Victory,825000,3000
M. Pitton,22,Argentina,66,74,Unión de Santa Fe,825000,3000
M. Caufriez,20,Belgium,66,74,Waasland-Beveren,825000,3000
Bruno Wilson,20,Portugal,66,74,SC Braga,825000,3000
W. Vaulks,23,England,66,70,Rotherham United,825000,3000
N. Freire,23,Argentina,66,74,PEC Zwolle,825000,3000
P. Eler,26,Slovenia,66,69,AS Nancy Lorraine,825000,3000
S. Murray,25,Scotland,66,69,Dundee FC,825000,3000
G. Edwards,24,Wales,66,69,Peterborough United,825000,3000
A. Jackson,23,England,66,74,Barnsley,825000,3000
S. Asamoah,23,Ghana,66,70,Sint-Truidense VV,825000,3000
E. Palmer-Brown,20,United States,65,76,KV Kortrijk,825000,3000
S. Lovric,19,Austria,65,77,SK Sturm Graz,825000,3000
Borja Domingo,21,Spain,65,73,CA Osasuna,825000,3000
R. Sandoval,22,Peru,65,74,Monarcas Morelia,825000,3000
N. Guerra,18,Chile,64,77,Universidad de Chile,825000,3000
Alex Robles,18,Spain,64,80,Malaga CF,825000,3000
M. Ciofani,29,Italy,69,69,Frosinone,800000,3000
P. Ngawa,25,Belgium,67,70,Avellino,800000,3000
T. Kupisz,27,Poland,67,67,Cesena,800000,3000
B. Paulsen,25,Denmark,67,70,Hammarby IF,800000,3000
Kim Min Hyeok,25,Korea Republic,67,70,Sagan Tosu,800000,3000
S. Akasaki,25,Japan,66,68,Kawasaki Frontale,800000,3000
D. Asprilla,25,Colombia,66,69,Portland Timbers,800000,3000
J. Taylor,24,England,66,68,Rotherham United,800000,3000
R. Rúnarsson,22,Iceland,66,76,FC Nordsjælland,800000,3000
K. van Veen,26,Netherlands,66,68,Northampton Town,800000,3000
S. Mauk,21,Australia,65,73,Melbourne City,800000,3000
Mujaid,17,Spain,65,78,RC Deportivo de La Coruña,800000,3000
Jean Carlos,21,Brazil,65,73,Granada CF,800000,3000
E. Babayan,21,Denmark,65,73,Hobro IK,800000,3000
T. Fosu,21,England,65,73,Charlton Athletic,800000,3000
S. Skytte,20,Denmark,64,76,Silkeborg IF,800000,3000
H. Adelakun,21,England,64,76,Scunthorpe United,800000,3000
B. Close,20,England,64,76,Portsmouth,800000,3000
K. Gutierrez,20,Argentina,63,77,Racing Club de Avellaneda,800000,3000
E. Iyoha,19,Germany,63,81,VfL Osnabrueck,800000,3000
T. Conechny,19,Argentina,63,79,San Lorenzo de Almagro,800000,3000
N. Belmonte,30,Italy,69,69,Perugia,775000,3000
M. Diakite,30,France,69,69,Bari,775000,3000
I. Risendo,25,Chile,68,68,Audax Italiano,775000,3000
E. Quiñones,28,Colombia,67,67,CD Los Millionarios Bogota,775000,3000
S. Wangberg,26,Norway,67,69,Tromsø IL,775000,3000
G. Koffie,25,Ghana,67,69,Hammarby IF,775000,3000
Lim Chai Min,26,Korea Republic,67,69,Sangju Sangmu FC,775000,3000
B. Meccariello,26,Italy,67,69,Brescia,775000,3000
E. Hurtado,26,United States,66,67,Vancouver Whitecaps FC,775000,3000
B. Inman,25,Australia,66,67,Rochdale,775000,3000
J. Emmanuel,19,England,66,74,Rotherham United,775000,3000
M. Mak,25,Poland,66,67,Piast Gliwice,775000,3000
M. Szczepaniak,26,Poland,66,67,Piast Gliwice,775000,3000
H. Shipp,25,United States,66,67,Seattle Sounders FC,775000,3000
D. van Bruggen,21,Netherlands,66,73,VVV-Venlo,775000,3000
Stefano Pinho,26,Brazil,66,67,Orlando City Soccer Club,775000,3000
F. Marković,25,Serbia,66,67,RC Lens,775000,3000
N. Mezquida,25,Uruguay,66,68,Vancouver Whitecaps FC,775000,3000
Nico Hidalgo,25,Spain,66,67,Cadiz C.F.,775000,3000
C. Nelson,24,England,66,73,Oxford United,775000,3000
F. Margiotta,23,Italy,65,72,FC Lausanne-Sports,775000,3000
C. Bayala,21,Burkina Faso,65,72,RC Lens,775000,3000
João Graça,22,Portugal,65,73,CD Feirense,775000,3000
Markel Areitio,20,Spain,65,77,SD Eibar,775000,3000
R. Williams,22,Jamaica,65,72,Atlanta United FC,775000,3000
S. Mallan,21,Scotland,64,75,Barnsley,775000,3000
F. Quintana,21,Argentina,64,75,Arsenal de Sarandi,775000,3000
N. Dominguez,19,Argentina,64,76,Velez Sarsfield,775000,3000
M. Ćavar,19,Bosnia Herzegovina,63,79,Eintracht Frankfurt,775000,3000
J. Vancamp,18,Belgium,63,78,Roda JC Kerkrade,775000,3000
R. Yates,19,England,63,77,Scunthorpe United,775000,3000
P. Abrahamsson,28,Sweden,69,69,BK Häcken,750000,3000
P. Magalhães,27,Chile,68,68,CD Antofagasta,750000,3000
A. Mazzotta,27,Italy,68,68,Pescara,750000,3000
G. Gutierrez,27,Colombia,68,68,CPD Junior Barranquilla,750000,3000
H. Hechalar,29,Argentina,67,67,Atletico Tucuman,750000,3000
Yeo Reum,28,Korea Republic,67,67,Sangju Sangmu FC,750000,3000
Koke Vegas,21,Spain,66,75,Levante UD,750000,3000
Kang Sang Woo,23,Korea Republic,66,72,Pohang Steelers,750000,3000
Ha Chang Rae,22,Korea Republic,66,72,Pohang Steelers,750000,3000
D. Mariani,26,Switzerland,66,67,FC Lugano,750000,3000
A. Messaoud,26,Morocco,66,67,Excelsior,750000,3000
C. Forrester,24,Republic of Ireland,66,72,Peterborough United,750000,3000
G. Gómez,21,Argentina,66,75,Racing Club de Avellaneda,750000,3000
A. Bell,23,England,66,72,Blackburn Rovers,750000,3000
M. Sarr,23,France,66,72,Charlton Athletic,750000,3000
Y. Kasim,26,Iraq,66,67,Northampton Town,750000,3000
K. Vermeulen,26,Netherlands,66,67,Excelsior,750000,3000
G. van Velzen,23,Netherlands,65,71,Roda JC Kerkrade,750000,3000
R. Lameiras,22,Portugal,65,72,Plymouth Argyle,750000,3000
C. Candido,22,Uruguay,65,75,San Martin de San Juan,750000,3000
Javi Galan,22,Spain,65,72,Córdoba CF,750000,3000
K. Shelton,24,United States,65,71,Sporting Kansas City,750000,3000
A. Keita,19,Ivory Coast,64,75,FC København,750000,3000
F. Melegoni,18,Italy,63,80,Atalanta,750000,3000
J. Rojas,34,Chile,71,71,San Luis de Quillota,725000,3000
M. Núñez,30,Argentina,67,67,Club Atletico Patronato,725000,3000
M. Turner,23,United States,67,72,New England Revolution,725000,3000
R. Crivello,25,Italy,67,68,Frosinone,725000,3000
F. Concas,30,Italy,67,67,Carpi,725000,3000
R. de la Fuente,26,Chile,67,68,CD Universidad de Concepción,725000,3000
G. Wijnaldum,24,Netherlands,66,71,Willem II,725000,3000
Lee Seok Hyun,27,Korea Republic,66,67,FC Seoul,725000,3000
D. Dussaut,22,France,66,71,Sint-Truidense VV,725000,3000
M. Pearson,23,England,66,71,Barnsley,725000,3000
E. Lieftink,23,Netherlands,66,71,Willem II,725000,3000
J. Buatu Mananga,23,Angola,66,71,Waasland-Beveren,725000,3000
J. Walsh,25,Wales,66,71,Milton Keynes Dons,725000,3000
T. Ebuehi,21,Nigeria,66,71,ADO Den Haag,725000,3000
E. Harrison,23,Wales,65,69,Bristol Rovers,725000,3000
F. Ortiz,24,Mexico,65,70,Monarcas Morelia,725000,3000
J. Aguilar,22,Panama,65,70,Estoril Praia,725000,3000
M. Covea,23,Venezuela,65,70,Bahia Blanca,725000,3000
D. Wouters,20,Belgium,65,74,KRC Genk,725000,3000
Diego Alende,19,Spain,65,75,RC Celta de Vigo,725000,3000
B. Kamau,22,Australia,65,70,Melbourne City,725000,3000
F. Vanzo,23,Belgium,65,70,Waasland-Beveren,725000,3000
V. Gvilia,23,Georgia,65,70,FC Luzern,725000,3000
Mario Barco,24,Spain,65,70,CD Lugo,725000,3000
M. Rodriguez,24,Argentina,65,70,Chacarita Juniors,725000,3000
E. Mašović,18,Serbia,64,77,Club Brugge KV,725000,3000
B. Kirsch,21,Germany,64,74,SpVgg Greuther Fuerth,725000,3000
C. Tosun,17,Turkey,63,78,Trabzonspor,725000,3000
M. Pongračić,19,Croatia,63,77,FC Red Bull Salzburg,725000,3000
N. Nartey,17,Denmark,63,81,1. FC Köln,725000,3000
A. Bongiovanni,17,Belgium,63,78,AS Monaco,725000,3000
E. Brignola,17,Italy,63,81,Benevento Calcio,725000,3000
W. López,31,Uruguay,69,69,La Spezia,700000,3000
N. Giani,31,Italy,69,69,La Spezia,700000,3000
L. Del Prete,31,Italy,69,69,Perugia,700000,3000
M. Calderoni,28,Italy,68,68,Novara,700000,3000
F. Banguero,28,Colombia,68,68,CD Los Millionarios Bogota,700000,3000
S. D'Elia,28,Italy,68,68,Bari,700000,3000
J. Parr,28,Norway,68,68,Strømsgodset IF,700000,3000
J. Jørgensen,28,Norway,67,68,Sarpsborg 08 FF,700000,3000
Jhonatan,26,Brazil,67,71,Moreirense FC,700000,3000
T. McNamara,26,United States,66,66,New York City Football Club,700000,3000
D. Werker,23,Netherlands,66,70,Roda JC Kerkrade,700000,3000
M. Koch,22,Netherlands,66,70,NAC Breda,700000,3000
Carlos,25,Spain,66,70,CD Numancia,700000,3000
D. Mattocks,26,Jamaica,66,66,D.C. United,700000,3000
F. Picault,26,United States,66,66,Philadelphia Union,700000,3000
M. Tirpan,23,Belgium,66,70,KAS Eupen,700000,3000
C. Burgess,25,England,66,70,Portsmouth,700000,3000
K. Mets,24,Estonia,66,70,NAC Breda,700000,3000
M. Barreto,26,France,66,66,AJ Auxerre,700000,3000
Y. van Nieff,24,Netherlands,66,70,FC Groningen,700000,3000
B. Kuipers,22,Netherlands,66,70,ADO Den Haag,700000,3000
R. Tafazolli,25,England,66,70,Peterborough United,700000,3000
G. van Kessel,24,Curacao,65,68,Oxford United,700000,3000
E. Markkanen,25,Finland,65,68,Randers FC,700000,3000
I. Diallo,20,Mali,65,73,KAS Eupen,700000,3000
M. Engels,23,Germany,65,69,Roda JC Kerkrade,700000,3000
K. Mazek,22,Poland,65,69,Zagłębie Lubin,700000,3000
A. Gerard,24,France,65,69,RC Lens,700000,3000
K. Hashimoto,23,Japan,65,70,F.C. Tokyo,700000,3000
F. Ananou,19,Germany,65,74,FC Ingolstadt 04,700000,3000
Everton,23,Brazil,65,68,CS Maritimo,700000,3000
D. Holmes,22,United States,65,69,Scunthorpe United,700000,3000
M. El Allouchi,22,Morocco,65,70,NAC Breda,700000,3000
Filipe Oliveira,23,Portugal,65,70,CS Maritimo,700000,3000
B. Straetman,19,Belgium,64,74,Sporting Lokeren,700000,3000
Moha,22,Spain,64,73,Cadiz C.F.,700000,3000
O. Khan,20,England,64,73,Yeovil Town,700000,3000
C. Rocchia,19,France,63,77,Olympique de Marseille,700000,3000
R. Schueller,26,Finland,66,66,Minnesota United,675000,3000
R. Koike,21,Japan,66,69,Kashiwa Reysol,675000,3000
J. Clarke,25,England,66,69,Scunthorpe United,675000,3000
S. McLaughlin,27,Republic of Ireland,66,66,Southend United,675000,3000
Park Gi Dong,28,Korea Republic,66,66,Suwon Samsung Bluewings,675000,3000
Yun Ju Tae,27,Korea Republic,66,66,Sangju Sangmu FC,675000,3000
M. Orihuela,25,Argentina,66,69,Temperley,675000,3000
A. Arregui,24,Argentina,66,69,Temperley,675000,3000
K. Dougall,24,Australia,66,68,Sparta Rotterdam,675000,3000
Y. Otsu,27,Japan,66,66,Yokohama F. Marinos,675000,3000
P. Pentz,20,Austria,66,73,FK Austria Wien,675000,3000
B. Shea,27,United States,66,66,Vancouver Whitecaps FC,675000,3000
M. Rutten,24,Netherlands,66,69,VVV-Venlo,675000,3000
D. Wotherspoon,27,Canada,66,66,St. Johnstone FC,675000,3000
N. Kuipers,24,Netherlands,66,69,ADO Den Haag,675000,3000
M. Sao,27,France,66,66,FC Sochaux-Montbeliard,675000,3000
T. Flanagan,25,Northern Ireland,66,69,Burton Albion,675000,3000
A. Chicksen,25,England,66,69,Bradford City,675000,3000
J. Devecchi,21,Argentina,65,75,San Lorenzo de Almagro,675000,3000
E. Boldewijn,24,Netherlands,65,68,Crawley Town,675000,3000
K. Anzai,22,Japan,65,73,Kashima Antlers,675000,3000
Juan Rodriguez,22,Spain,65,73,Real Sporting de Gijón,675000,3000
Y. Attal,21,Algeria,65,73,KV Kortrijk,675000,3000
Z. Ismail,23,England,65,68,Bury,675000,3000
Adri Castellano,23,Spain,65,73,Granada CF,675000,3000
J. Clark,23,England,65,68,Accrington Stanley,675000,3000
A. Wildig,25,England,65,68,Morecambe,675000,3000
O. Custodio,22,Switzerland,64,73,FC Luzern,675000,3000
Pablo Fernandez,20,Spain,64,72,Real Sporting de Gijón,675000,3000
M. Schulz,22,Germany,64,75,FC Luzern,675000,3000
A. Buksa,20,Poland,64,72,Pogoń Szczecin,675000,3000
Reginaldo,33,Brazil,69,69,Vercelli,650000,3000
D. Perquis,31,France,69,69,Valenciennes FC,650000,3000
G. Vargas,33,Chile,69,69,Curicó Unido,650000,3000
A. Delfino,27,Argentina,67,67,CD Antofagasta,650000,3000
D. Gavazzi,31,Italy,67,67,Avellino,650000,3000
A. Ligi,27,Italy,67,67,Carpi,650000,3000
T. Ricketts,29,Canada,66,66,Toronto FC,650000,3000
L. Trotter,28,England,66,66,AFC Wimbledon,650000,3000
Jo Young Cheol,28,Korea Republic,66,66,Ulsan Hyundai Horang-i,650000,3000
D. Čavušević,29,Slovenia,66,66,Adelaide United,650000,3000
R. Draper,28,England,66,66,Ross County FC,650000,3000
Patrão,27,Portugal,66,66,Grupo Desportivo de Chaves,650000,3000
K. Moriya,28,Japan,66,66,Kawasaki Frontale,650000,3000
T. Naylor,26,England,66,68,Burton Albion,650000,3000
L. Mulholland,28,England,66,66,Real Salt Lake,650000,3000
E. Butin,29,France,66,66,Stade Brestois 29,650000,3000
S. Bradley,25,England,66,68,Plymouth Argyle,650000,3000
N. Avellaneda,24,Argentina,66,72,Defensa y Justicia,650000,3000
A. Abeid,19,Mauritania,65,73,Levante UD,650000,3000
Jose Kante,26,Guinea,65,66,Wisła Płock,650000,3000
J. Sanchez,19,Mexico,65,73,Santos Laguna,650000,3000
K. Madu,21,Nigeria,65,72,SV Zulte-Waregem,650000,3000
L. Grozurek,25,Austria,65,66,FC Admira Wacker Mödling,650000,3000
K. Appiah,26,Ghana,65,66,AFC Wimbledon,650000,3000
J. Tverskov,24,Denmark,65,72,Odense Boldklub,650000,3000
I. Lendrić,25,Croatia,65,66,RC Lens,650000,3000
S. Jovanović,25,Serbia,65,66,Córdoba CF,650000,3000
A. Luna,25,Uruguay,65,66,Tiburones Rojos de Veracruz,650000,3000
A. Ludwig,24,Denmark,65,72,AC Horsens,650000,3000
K. Koizumi,22,Japan,65,72,Kashiwa Reysol,650000,3000
B. Kololli,25,Kosovo,65,66,FC Lausanne-Sports,650000,3000
H. Cid,25,Mexico,65,67,Tiburones Rojos de Veracruz,650000,3000
H. Khaloua,22,Morocco,64,71,UD Almeria,650000,3000
B. Passi,19,France,64,75,Montpellier Herault SC,650000,3000
M. Ngombo,22,Belgium,64,71,Roda JC Kerkrade,650000,3000
Felipe Tontini,21,Brazil,64,72,FC Helsingør,650000,3000
Kilian Grant,23,Spain,64,71,SD Huesca,650000,3000
A. Touba,19,Belgium,64,75,Club Brugge KV,650000,3000
S. Kashket,21,England,63,75,Wycombe Wanderers,650000,3000
P. Köhn,19,Switzerland,63,80,RB Leipzig,650000,3000
U. Yuvakuran,19,Turkey,63,79,Beşiktaş JK,650000,3000
J. Pohl,21,Denmark,63,74,Aalborg BK,650000,3000
T. Handwerker,19,Germany,63,75,1. FC Köln,650000,3000
A. Tchouameni,17,France,63,83,Girondins de Bordeaux,650000,3000
D. Erdoğan,20,Turkey,62,76,LASK Linz,650000,3000
N. Rinderknecht,19,Germany,62,76,SC Preußen Muenster,650000,3000
O. Gaines,19,United States,62,77,SV Darmstadt 98,650000,3000
E. Cascione,33,Italy,69,69,Cesena,625000,3000
S. Gonda,28,Japan,68,68,Sagan Tosu,625000,3000
H. Pertuz,28,Colombia,67,67,Independiente Medellin,625000,3000
C. Vargas,27,Colombia,67,69,Atletico Nacional Medellin,625000,3000
E. Padella,28,Italy,67,67,Ascoli,625000,3000
E. Carvajal,28,Chile,67,67,Deportes Iquique,625000,3000
O. Jansson,26,Sweden,67,68,Örebro SK,625000,3000
N. Maynard,30,England,66,66,Aberdeen,625000,3000
Júnior Negão,30,Brazil,66,66,Ulsan Hyundai Horang-i,625000,3000
N. Teixeira,26,Germany,66,67,DSC Arminia Bielefeld,625000,3000
K. Doolan,30,Scotland,66,66,Partick Thistle F.C.,625000,3000
P. McGowan,29,Scotland,66,66,Dundee FC,625000,3000
A. Taylor,26,Wales,66,67,Northampton Town,625000,3000
Ivan Gonzalez,27,Spain,66,68,C.D. Leonesa S.A.D.,625000,3000
Sin Se Gye,26,Korea Republic,66,67,Sangju Sangmu FC,625000,3000
J. Muñoz,29,Chile,66,66,CD Palestino,625000,3000
Gerson,25,Brazil,66,67,Lechia Gdańsk,625000,3000
C. Chapman,22,Australia,65,70,Pohang Steelers,625000,3000
O. Clarke,25,England,65,66,Bristol Rovers,625000,3000
S. O'Neill,23,United States,65,70,Excelsior,625000,3000
T. Nishino,23,Japan,65,71,Gamba Osaka,625000,3000
L. Jäger,23,Austria,65,70,1. FC Nuernberg,625000,3000
N. Tripichio,21,Argentina,64,74,Velez Sarsfield,625000,3000
M. Firenze,24,Italy,64,70,F.B.C. Unione Venezia,625000,3000
V. Davila,19,Chile,64,71,Necaxa,625000,3000
Pablo Larrea,23,Spain,64,71,CD Numancia,625000,3000
R. Touzet,19,France,64,74,Angers SCO,625000,3000
C. Fuehrich,19,Germany,63,75,1. FC Köln,625000,3000
João Queirós,19,Portugal,63,76,1. FC Köln,625000,3000
N. Garmendia,19,Spain,63,74,Udinese,625000,3000
E. Ozuna,21,Argentina,63,74,Temperley,625000,3000
O. Shodipo,19,Republic of Ireland,63,74,Colchester United,625000,3000
Dani Molina,21,Spain,63,76,RC Celta de Vigo,625000,3000
F. Antonucci,18,Belgium,62,81,AS Monaco,625000,3000
Matheus Cunha,18,Brazil,62,80,FC Sion,625000,3000
A. Davila,18,Uruguay,62,76,Real Sociedad,625000,3000
A. Esposito,31,Italy,68,68,Cesena,600000,3000
D. Diaz,31,Chile,68,68,Curicó Unido,600000,3000
H. Hauger,31,Norway,68,68,Strømsgodset IF,600000,3000
D. Capelli,31,Italy,68,68,La Spezia,600000,3000
Juanjo,29,Spain,67,67,GIF Sundsvall,600000,3000
F. Piovaccari,32,Italy,67,67,Ternana,600000,3000
L. Laverone,28,Italy,67,67,Avellino,600000,3000
J. Miño,29,Argentina,67,67,Deportes Iquique,600000,3000
C. Erskine,30,Scotland,66,66,Partick Thistle F.C.,600000,3000
L. Martin,30,England,66,66,Gillingham,600000,3000
M. Rivero,27,Argentina,66,67,Club Atletico Patronato,600000,3000
Antonio Martinez,27,Spain,66,67,C.D. Leonesa S.A.D.,600000,3000
R. Janssen,27,Netherlands,66,67,VVV-Venlo,600000,3000
L. Craig,30,Scotland,66,66,St. Johnstone FC,600000,3000
M. Bagnack,22,Cameroon,65,69,FC Admira Wacker Mödling,600000,3000
F. Holst,22,Denmark,65,70,Sparta Rotterdam,600000,3000
S. Ajayi,23,Nigeria,65,69,Rotherham United,600000,3000
M. Wostry,24,Austria,65,69,FC Admira Wacker Mödling,600000,3000
Felipe,24,Spain,65,70,AD Alcorcón,600000,3000
H. Kamara,23,France,64,68,Stade de Reims,600000,3000
Kiki,22,Portugal,64,73,CD Feirense,600000,3000
L. Gil,23,United States,64,69,Houston Dynamo,600000,3000
David Sualehe,20,Portugal,64,73,Sporting CP,600000,3000
C. Togashi,23,Japan,64,68,F.C. Tokyo,600000,3000
K. Coulibaly,24,France,64,68,Willem II,600000,3000
N. Mbemba,22,France,64,70,Stade de Reims,600000,3000
M. Udol,21,France,64,73,FC Metz,600000,3000
D. Starkl,23,Austria,64,68,FC Admira Wacker Mödling,600000,3000
C. Burgess,21,Australia,64,73,Scunthorpe United,600000,3000
L. Suarez,22,Argentina,64,73,Defensa y Justicia,600000,3000
C. Main,25,England,64,68,Motherwell,600000,3000
J. Roberts,23,England,64,69,Crawley Town,600000,3000
Xesc Regis,20,Spain,63,73,SD Eibar,600000,3000
J. Serrano,19,France,63,76,AS Monaco,600000,3000
M. Doucoure,19,France,62,77,Borussia Mönchengladbach,600000,3000
F. Mayer,19,Germany,62,78,Borussia Mönchengladbach,600000,3000
M. Zambelli,31,Italy,68,68,Foggia,575000,3000
J. Valencia,31,Colombia,68,68,Independiente Santa Fe,575000,3000
M. Rubin,29,Italy,67,67,Foggia,575000,3000
R. Perticone,30,Italy,67,67,Cesena,575000,3000
Lee Woong Hee,28,Korea Republic,66,67,FC Seoul,575000,3000
O. Vera,31,Mexico,66,66,Tiburones Rojos de Veracruz,575000,3000
K. Onuegbu,31,Nigeria,66,66,MSV Duisburg,575000,3000
M. Gardyne,31,Scotland,66,66,Ross County FC,575000,3000
S. Wootton,25,England,65,68,Milton Keynes Dons,575000,3000
S. Lawless,26,Scotland,65,65,Partick Thistle F.C.,575000,3000
P. Tuszyński,27,Poland,65,65,Zagłębie Lubin,575000,3000
R. Barrios,24,Argentina,65,69,Defensa y Justicia,575000,3000
J. Guthrie,24,England,65,68,Walsall,575000,3000
M. Hofrath,24,Germany,65,69, SSV Jahn Regensburg,575000,3000
S. Silva,27,Sweden,65,65,AIK Solna,575000,3000
O. Threlkeld,23,England,65,69,Plymouth Argyle,575000,3000
P. Madden,27,Republic of Ireland,65,65,Fleetwood Town,575000,3000
C. Curran,27,England,65,65,Ross County FC,575000,3000
J. Vunguidica,27,Angola,65,65,SV Sandhausen,575000,3000
Y. M'Changama,26,Comoros,65,65,GFC Ajaccio,575000,3000
J. Vansteenkiste,24,Belgium,65,69,Roda JC Kerkrade,575000,3000
F. Lewis,24,Netherlands,65,68,Willem II,575000,3000
F. Sporkslede,23,Netherlands,65,69,NAC Breda,575000,3000
C. Townsend,24,England,65,69,Scunthorpe United,575000,3000
H. Hauksson,25,Iceland,65,68,AIK Solna,575000,3000
Bruno Leite,24,Brazil,65,68,FC Paços de Ferreira,575000,3000
Ibson Melo,27,Brazil,65,65,CS Maritimo,575000,3000
S. Muroya,23,Japan,65,69,F.C. Tokyo,575000,3000
A. Sandona,24,Argentina,65,69,Club Atletico Patronato,575000,3000
A. Thompson,24,Northern Ireland,65,68,Bury,575000,3000
G. Villarruel,24,Argentina,64,67,San Martin de San Juan,575000,3000
A. Forde,23,Republic of Ireland,64,67,Rotherham United,575000,3000
C. Reilly,23,Republic of Ireland,64,68,Gillingham,575000,3000
Jang Hyun Soo,24,Korea Republic,64,67,Suwon Samsung Bluewings,575000,3000
H. Bunn,24,England,64,67,Bury,575000,3000
R. Almeida-Santos,22,Portugal,64,72,Barnet,575000,3000
